1	Cuba	           6.40
2	Greece	           6.04
3	Belarus	           4.87
4	Austria	           4.75
5	Georgia	           4.54
6	Russia	           4.31
7	Italy	           4.24
8	Norway	           4.08
9	Switzerland	           4.07
10	Niue	           4.00
11	Iceland	           3.93
12	Netherlands	           3.92
13	Kazakhstan	           3.88
14	Azerbaijan	           3.79
15	Portugal	           3.76
16	Uruguay	           3.74
17	Andorra	           3.72
18	Spain	           3.71
19	Armenia	           3.70
20	Czech Republic	           3.67
21	Lithuania	           3.66
22	Bulgaria	           3.64
23	Israel	           3.63
24	Sweden	           3.58
25	Lebanon	           3.54
26	Germany	           3.53
27	France	           3.50
28	Denmark	           3.42
29	Estonia	           3.41
30	Korea, North	           3.29
31	Ireland	           3.19
32	Argentina	           3.16
33	Ukraine	           3.13
34	Hungary	           3.10
35	Malta	           3.07
36	Slovakia	           3.00
37	Australia	           2.99
38	Latvia	           2.99
39	Belgium	           2.99
40	Mexico	           2.89
41	Luxembourg	           2.86
42	Egypt	           2.83
43	Mongolia	           2.76
44	Qatar	           2.76
45	United Kingdom	           2.74
46	Finland	           2.74
47	United States	           2.67
48	Moldova	           2.67
49	Uzbekistan	           2.62
50	Croatia	           2.59
51	Macedonia	           2.55
52	Slovenia	           2.47
53	Jordan	           2.45
54	Turkmenistan	           2.44
55	New Zealand	           2.38
56	Kyrgyzstan	           2.30
57	Cyprus	           2.30
58	Poland	           2.14
59	Japan	           2.06
60	Serbia	           2.04
61	Tajikistan	           2.01
62	Korea, South	           1.97
63	Venezuela	           1.94
64	United Arab Emirates	           1.93
65	Romania	           1.92
66	Canada	           1.91
67	Oman	           1.90
68	Libya	           1.90
69	Singapore	           1.83
70	Barbados	           1.81
71	Kuwait	           1.79
72	Brazil	           1.72
73	El Salvador	           1.60
74	Maldives	           1.60
75	Seychelles	           1.51
76	Syria	           1.50
77	Panama	           1.50
78	Ecuador	           1.48
79	Turkey	           1.45
80	Bahrain	           1.44
81	Bosnia and Herzegovina	           1.42
82	Brunei	           1.42
83	China	           1.42
84	Colombia	           1.35
85	Costa Rica	           1.32
86	Palau	           1.30
87	Vietnam	           1.22
88	Bolivia	           1.22
89	Algeria	           1.21
90	Tunisia	           1.19
91	Cook Islands	           1.18
92	Trinidad and Tobago	           1.18
93	Philippines	           1.15
94	Albania	           1.15
95	Paraguay	           1.11
96	Saint Kitts and Nevis	           1.10
97	Chile	           1.09
98	Mauritius	           1.06
99	Bahamas, The	           1.05
100	Malaysia	           0.94
101	Saudi Arabia	           0.94
102	Peru	           0.92
103	Guatemala	           0.90
104	Iran	           0.89
105	Jamaica	           0.85
106	Belize	           0.83
107	Pakistan	           0.81
108	South Africa	           0.77
109	Saint Vincent and the Grenadines	           0.75
110	Nauru	           0.71
111	Iraq	           0.69
112	Tuvalu	           0.64
113	Morocco	           0.62
114	India	           0.60
115	Guyana	           0.59
116	Cape Verde	           0.57
117	Honduras	           0.57
118	Micronesia, Federated States of	           0.56
119	Marshall Islands	           0.56
120	Dominica	           0.50
121	Sri Lanka	           0.49
122	Sao Tome and Principe	           0.49
123	Saint Lucia	           0.47
124	Burma	           0.46
125	Fiji	           0.45
126	Suriname	           0.45
127	Nigeria	           0.40
128	Namibia	           0.37
129	Nicaragua	           0.37
130	Botswana	           0.34
131	Yemen	           0.30
132	Equatorial Guinea	           0.30
133	Thailand	           0.30
134	Kiribati	           0.30
135	Bangladesh	           0.30
136	Tonga	           0.29
137	Gabon	           0.29
138	Indonesia	           0.29
139	Sudan	           0.28
140	Laos	           0.27
141	Samoa	           0.27
142	Haiti	           0.25
143	Djibouti	           0.23
144	Cambodia	           0.23
145	Afghanistan	           0.21
146	Nepal	           0.21
147	Cameroon	           0.19
148	Solomon Islands	           0.19
149	Antigua and Barbuda	           0.17
150	Madagascar	           0.16
151	Zimbabwe	           0.16
152	Swaziland	           0.16
153	Comoros	           0.15
154	Cote d'Ivoire	           0.14
155	Kenya	           0.14
156	Mauritania	           0.13
157	Uganda	           0.12
158	Vanuatu	           0.12
159	Congo, Democratic Republic of the	           0.11
160	Timor-Leste	           0.10
161	Guinea	           0.10
162	Congo, Republic of the	           0.10
163	Ghana	           0.09
164	Angola	           0.08
165	Central African Republic	           0.08
166	Burkina Faso	           0.06
167	Benin	           0.06
168	Senegal	           0.06
169	Zambia	           0.06
170	Togo	           0.05
171	Papua New Guinea	           0.05
172	Eritrea	           0.05
173	Lesotho	           0.05
174	Mali	           0.05
175	Guinea-Bissau	           0.05
176	Chad	           0.04
177	Gambia, The	           0.04
178	Somalia	           0.04
179	Burundi	           0.03
180	Mozambique	           0.03
181	Rwanda	           0.02
182	Bhutan	           0.02
183	Ethiopia	           0.02
184	Malawi	           0.02
185	Niger	           0.02
186	Sierra Leone	           0.02
187	Liberia	           0.01
188	Tanzania	           0.01
