1	United States	       10,270,000
2	European Union	        8,613,000
3	China	        5,080,000
4	Japan	        4,394,000
5	India	        3,060,000
6	Germany	        2,671,000
7	Netherlands	        2,577,000
8	Korea, South	        2,500,000
9	France	        2,220,000
10	Singapore	        2,052,000
11	Italy	        1,800,000
12	Spain	        1,584,000
13	United Kingdom	        1,450,000
14	Canada	        1,088,000
15	Belgium	        1,007,000
16	Taiwan	         876,300
17	Thailand	         807,100
18	Indonesia	         767,400
19	Australia	         731,400
20	Turkey	         581,000
21	Sweden	         546,500
22	Poland	         531,300
23	South Africa	         521,400
24	Greece	         496,600
25	Mexico	         496,000
26	Belarus	         471,400
27	Virgin Islands	         442,000
28	Hong Kong	         375,000
29	Malaysia	         355,300
30	Pakistan	         346,400
31	Philippines	         338,400
32	Finland	         318,100
33	Chile	         305,100
34	Ukraine	         301,900
35	Iran	         297,100
36	Portugal	         294,600
37	Israel	         282,200
38	Austria	         282,200
39	Switzerland	         272,700
40	Brazil	         255,800
41	United Arab Emirates	         235,300
42	Aruba	         234,000
43	Iraq	         231,200
44	Vietnam	         227,000
45	Morocco	         221,000
46	Bahrain	         213,000
47	Czech Republic	         208,800
48	Bulgaria	         201,400
49	Nigeria	         187,700
50	Lithuania	         183,100
51	Denmark	         177,700
52	Egypt	         177,200
53	Hungary	         171,600
54	Ireland	         166,000
55	Puerto Rico	         164,000
56	Romania	         163,000
57	Slovakia	         139,200
58	New Zealand	         138,000
59	Norway	         118,200
60	Jordan	         111,700
61	Cuba	         109,500
62	Dominican Republic	         107,300
63	Ecuador	         102,500
64	Trinidad and Tobago	          95,240
65	Kazakhstan	          94,430
66	Jamaica	          90,520
67	Peru	          88,080
68	Cote d'Ivoire	          85,190
69	Sri Lanka	          84,730
70	Saudi Arabia	          83,150
71	Kenya	          80,160
72	Lebanon	          78,760
73	Guatemala	          78,550
74	Tunisia	          78,460
75	Panama	          77,910
76	Bangladesh	          77,340
77	Bahamas, The	          70,990
78	Ghana	          68,830
79	Croatia	          67,660
80	Yemen	          64,610
81	Slovenia	          60,270
82	Cyprus	          57,290
83	Syria	          55,280
84	Honduras	          53,630
85	Luxembourg	          51,930
86	Uruguay	          47,260
87	Armenia	          46,680
88	Cameroon	          46,490
89	El Salvador	          45,060
90	Costa Rica	          44,110
91	Russia	          42,750
92	Tajikistan	          39,400
93	Bosnia and Herzegovina	          38,890
94	Angola	          38,280
95	Senegal	          36,290
96	Latvia	          33,730
97	Ethiopia	          33,480
98	Benin	          33,410
99	Cambodia	          33,200
100	Nicaragua	          30,290
101	Tanzania	          30,040
102	Estonia	          28,520
103	Oman	          27,970
104	Serbia	          27,330
105	Gibraltar	          26,400
106	Paraguay	          23,810
107	Albania	          22,880
108	West Bank	          22,110
109	Macedonia	          21,530
110	Mauritius	          20,750
111	Namibia	          19,890
112	Burma	          19,700
113	Argentina	          19,380
114	Fiji	          18,850
115	Georgia	          18,500
116	Malta	          18,420
117	Algeria	          18,180
118	Mauritania	          17,750
119	Zambia	          17,570
120	Bolivia	          17,330
121	Madagascar	          16,390
122	Kyrgyzstan	          15,940
123	Togo	          15,900
124	Korea, North	          15,810
125	Mongolia	          15,730
126	Botswana	          15,590
127	Iceland	          15,530
128	Macau	          15,400
129	Papua New Guinea	          14,770
130	Moldova	          14,730
131	Mozambique	          14,540
132	New Caledonia	          14,330
133	Uganda	          13,770
134	Nepal	          13,740
135	Haiti	          13,480
136	Zimbabwe	          13,140
137	Congo, Democratic Republic of the	          13,100
138	Sudan	          11,820
139	Djibouti	          11,230
140	Guyana	          10,480
141	Uzbekistan	           9,013
142	Barbados	           8,684
143	Burkina Faso	           8,560
144	Guinea	           8,559
145	Belize	           7,326
146	Malawi	           7,124
147	French Polynesia	           6,611
148	Seychelles	           6,203
149	Maldives	           6,088
150	Colombia	           6,045
151	Suriname	           5,668
152	Niger	           5,443
153	Rwanda	           5,105
154	Sierra Leone	           4,945
155	Gabon	           4,822
156	Bermuda	           4,804
157	Faroe Islands	           4,776
158	Liberia	           4,552
159	Antigua and Barbuda	           4,548
160	Afghanistan	           4,512
161	Mali	           4,507
162	Swaziland	           4,464
163	American Samoa	           4,440
164	Greenland	           4,330
165	Qatar	           4,108
166	Eritrea	           3,864
167	Somalia	           3,827
168	Cayman Islands	           3,700
169	Montenegro	           3,149
170	Congo, Republic of the	           2,832
171	Gambia, The	           2,807
172	Saint Lucia	           2,692
173	Guinea-Bissau	           2,565
174	Burundi	           2,450
175	Central African Republic	           2,418
176	Cape Verde	           2,336
177	Laos	           1,918
178	Grenada	           1,913
179	Chad	           1,837
180	Western Sahara	           1,802
181	Equatorial Guinea	           1,729
182	Saint Kitts and Nevis	           1,699
183	Lesotho	           1,690
184	Bhutan	           1,549
185	Solomon Islands	           1,485
186	Azerbaijan	           1,439
187	Saint Vincent and the Grenadines	           1,252
188	Tonga	           1,202
189	Samoa	           1,125
190	Nauru	           1,044
191	Comoros	            967
192	Sao Tome and Principe	            889
193	Dominica	            859
194	Vanuatu	            761
195	British Virgin Islands	            752
196	Saint Pierre and Miquelon	            584
197	Libya	            575
198	Montserrat	            564
199	Turks and Caicos Islands	            470
200	Cook Islands	            464
201	Falkland Islands (Islas Malvinas)	            313
202	Kiribati	            284
203	Brunei	            138
204	Saint Helena, Ascension, and Tristan da Cunha	             85
205	Niue	             33
206	Turkmenistan	              0
207	Kuwait	              0
208	Venezuela	              0
